time,pods,cpu,memory,karpenter,kubecaps,region
2025-05-22 09:00:00+09:00,10,1,1,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2391), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(80873.70100794647), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 183578.91794800002, 'cost': 0.039, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 470715.17422564107, 'nodepool': [{'instance_type': 't4g.micro', 'availability_zone': 'None', 'num_instances': 10, 'T3': 50.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,10,1,2,"{'performance': np.float64(309390.430576), 'cost': np.float64(0.2391), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(80873.70100794647), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 184033.6735, 'cost': 0.07900000000000001, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 232954.01708860756, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'None', 'num_instances': 10, 'T3': 50.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,10,1,4,"{'performance': np.float64(309364.100352), 'cost': np.float64(0.3014), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(64151.48066357), 'nodepool': [{'instance_type': 'm6g.4xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 348170.428886, 'cost': 0.2215, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 157187.55254446954, 'nodepool': [{'instance_type': 'm7i-flex.large', 'availability_zone': 'None', 'num_instances': 5, 'T3': 15.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,10,2,2,"{'performance': np.float64(309423.9135168), 'cost': np.float64(0.515), 'assignable_pod': np.float64(16.0), 'excess_pod': np.float64(6.0), 'efficiency': np.float64(37551.44581514563), 'nodepool': [{'instance_type': 'c6g.8xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 333711.74889399996, 'cost': 0.342, 'actual_pods': 10.0, 'excess_pods': 0.0, 'efficiency': 97576.53476432746, 'nodepool': [{'instance_type': 'c6a.xlarge', 'availability_zone': 'None', 'num_instances': 5, 'T3': 50.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,50,1,2,"{'performance': np.float64(1237671.7544576), 'cost': np.float64(1.0472), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(18466.979720588235), 'nodepool': [{'instance_type': 'c6g.16xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 920168.3674999999, 'cost': 0.398, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 46239.61645728642, 'nodepool': [{'instance_type': 't4g.small', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'None', 'num_instances': 10, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,50,1,4,"{'performance': np.float64(1237542.5549696), 'cost': np.float64(1.15), 'assignable_pod': np.float64(64.0), 'excess_pod': np.float64(14.0), 'efficiency': np.float64(16814.436888173914), 'nodepool': [{'instance_type': 'm6g.16xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1, 'T3': np.float64(50.0)}]}","{'performance': 1666528.249862, 'cost': 1.06, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 31443.92924267925, 'nodepool': [{'instance_type': 'm6a.8xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 20.0}, {'instance_type': 'm6a.large', 'availability_zone': 'None', 'num_instances': 9, 'T3': 50.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,50,2,2,"{'performance': np.float64(2680695.8449920006), 'cost': np.float64(3.5958), 'assignable_pod': np.float64(96.0), 'excess_pod': np.float64(46.0), 'efficiency': np.float64(7765.703056899718), 'nodepool': [{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1, 'T3': np.float64(5.0)}]}","{'performance': 1668675.5126108003, 'cost': 1.71, 'actual_pods': 50.0, 'excess_pods': 0.0, 'efficiency': 19516.672662114623, 'nodepool': [{'instance_type': 'c6a.24xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 5.0}, {'instance_type': 'c6a.xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 50.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,100,1,2,"{'performance': np.float64(5361391.689984001), 'cost': np.float64(3.5958), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(7765.703056899718), 'nodepool': [{'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1, 'T3': np.float64(5.0)}]}","{'performance': 2439049.036576, 'cost': 1.162, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 20990.094979139416, 'nodepool': [{'instance_type': 'c6a.xlarge', 'availability_zone': 'None', 'num_instances': 10, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}, {'instance_type': 't4g.small', 'availability_zone': 'None', 'num_instances': 20, 'T3': 50.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,100,1,4,"{'performance': np.float64(5564895.0972672), 'cost': np.float64(5.3402), 'assignable_pod': np.float64(192.0), 'excess_pod': np.float64(92.0), 'efficiency': np.float64(5427.479987940526), 'nodepool': [{'instance_type': 'r8g.48xlarge', 'availability_zone': 'eu-west-1b', 'num_instances': 1, 'T3': np.float64(10.0)}]}","{'performance': 3341091.8292056, 'cost': 2.059, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 16226.769447331715, 'nodepool': [{'instance_type': 'm6a.16xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 5.0}, {'instance_type': 'm6a.8xlarge', 'availability_zone': 'None', 'num_instances': 1, 'T3': 20.0}, {'instance_type': 'm7i-flex.large', 'availability_zone': 'None', 'num_instances': 2, 'T3': 15.0}]}",eu-west-1
2025-05-22 09:00:00+09:00,100,2,2,"{'performance': np.float64(2835391.060280001), 'cost': np.float64(3.8349), 'assignable_pod': np.float64(104.0), 'excess_pod': np.float64(4.0), 'efficiency': np.float64(7109.279402230929), 'nodepool': [{'instance_type': 'c6g.4xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1, 'T3': np.float64(50.0)}, {'instance_type': 'c8g.48xlarge', 'availability_zone': 'eu-west-1c', 'num_instances': 1, 'T3': np.float64(5.0)}]}","{'performance': 3337351.0252216007, 'cost': 3.42, 'actual_pods': 100.0, 'excess_pods': 0.0, 'efficiency': 9758.336331057311, 'nodepool': [{'instance_type': 'c6a.24xlarge', 'availability_zone': 'None', 'num_instances': 2, 'T3': 5.0}, {'instance_type': 'c6a.xlarge', 'availability_zone': 'None', 'num_instances': 2, 'T3': 50.0}]}",eu-west-1
